Customer_ID,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Gender,Age,Region,Dropped_Calls,tariff,Handset,L_O_S
"K100270",25,41.989655,21,14.465335,1,7.433576,9.471270,1.679586,0.688825,7.433576,47,63.888566,1.359331,73.359836,"M",44,"Central",2,"CAT 50","SOP20",29.404517
"K100500",24,73.173937,13,15.565508,0,0.000000,1.136201,3.048914,1.197347,0.000000,37,88.739445,2.398363,89.875646,"M",50,"East",2,"CAT 50","SOP20",45.995893
"K101010",31,72.000000,4,10.800000,46,75.600001,9.600287,2.322581,2.700000,1.643478,81,158.400001,1.955556,168.000288,"M",28,"South",8,"Play 100","SOP10",48.591376
"K101870",1,7.200000,24,59.700001,22,84.600001,47.927578,7.200000,2.487500,3.845455,47,151.500002,3.223404,199.427580,"M",31,"Central",2,"Play 100","SOP20",24.016427
"K102460",4,13.375181,8,13.813711,22,43.633786,8.283826,3.343795,1.726714,1.983354,34,70.822678,2.083020,79.106504,"M",57,"West",0,"Play 100","SOP20",52.369610
"K102540",1,23.183933,38,41.753586,3,2.438440,21.622694,23.183933,1.098779,0.812813,42,67.375959,1.604190,88.998653,"F",53,"East",2,"Play 100","SOP20",18.398357
"K102600",234,522.000000,185,299.100001,46,97.800000,257.307962,2.230769,1.616757,2.126087,465,918.900001,1.976129,1176.207963,"F",45,"South",2,"CAT 100","ASAD170",24.344969
"K102620",270,465.000000,256,403.499999,3,48.000000,253.755850,1.722222,1.576172,16.000000,529,916.499999,1.732514,1170.255849,"F",26,"North",0,"CAT 100","S50",10.086242
"K102630",396,611.399999,19,41.399999,28,48.600001,215.144447,1.543939,2.178947,1.735714,443,701.399999,1.583296,916.544446,"F",35,"North-West",1,"CAT 100","ASAD170",48.328542
"K102640",345,704.400001,75,138.599999,6,41.000000,273.148909,2.041739,1.848000,6.833333,426,884.000000,2.075117,1157.148909,"M",27,"South-East",5,"CAT 100","S50",57.166324
"K102650",323,659.400000,47,91.500000,4,21.600000,190.608311,2.041486,1.946809,5.400000,374,772.500000,2.065508,963.108311,"M",30,"North-West",10,"CAT 100","S50",17.741273
"K102660",179,365.400000,49,229.799999,2,21.000000,190.686325,2.041341,4.689796,10.500000,230,616.199999,2.679130,806.886324,"F",31,"Central",2,"CAT 100","S80",26.874743
"K102690",207,319.200001,110,204.900001,22,63.000000,193.477119,1.542029,1.862727,2.863636,339,587.100002,1.731858,780.577121,"F",74,"East",0,"CAT 100","ASAD170",12.484600
"K102700",402,691.200000,78,216.900000,12,22.800000,254.208400,1.719403,2.780769,1.900000,492,930.900000,1.892073,1185.108400,"F",34,"East",1,"CAT 100","S50",27.926078
"K102710",228,466.800000,85,196.500001,21,39.000000,222.938822,2.047368,2.311765,1.857143,334,702.300001,2.102695,925.238823,"M",31,"East",10,"CAT 100","S50",25.330595
"K102730",329,675.000000,14,69.900000,41,68.400001,246.765202,2.051672,4.992857,1.668293,384,813.300001,2.117969,1060.065203,"M",27,"East",1,"CAT 100","S50",55.457906
"K102750",368,756.600000,8,142.199999,1,1.800000,229.345030,2.055978,17.775000,1.800000,377,900.599999,2.388859,1129.945029,"F",40,"South-West",0,"CAT 100","ASAD170",32.328542
"K102780",359,740.400000,28,135.900001,5,47.400000,292.829550,2.062396,4.853571,9.480000,392,923.700001,2.356378,1216.529551,"F",32,"South-East",1,"CAT 100","ASAD170",52.369610
"K102790",252,519.599999,15,45.000000,0,0.000000,188.805204,2.061905,3.000000,0.000000,267,564.599999,2.114607,753.405203,"F",35,"South-West",1,"CAT 100","S80",34.069815
"K102800",303,624.599999,30,219.300001,1,82.200000,280.467523,2.061386,7.310000,82.200000,334,926.100000,2.772754,1206.567523,"M",34,"East",0,"CAT 100","S80",36.238193
