ip;url_cat_Docs_flg;url_cat_Download_flg;url_cat_Home_flg;url_cat_News_flg;url_cat_Other_flg;url_cat_Presse-Feeds_flg;url_cat_Product_flg
10.360.58.12;T;T;F;F;F;F;T
10.374.305.330;F;F;T;F;F;F;F
10.380.61.627;F;T;F;F;T;F;F
10.668.681.82;F;F;T;F;T;F;T
11.678.05.604;F;F;F;F;F;T;F
13.368.676.40;F;F;F;F;F;T;T
13.60.303.35;F;F;F;F;F;F;T
13.683.628.42;F;F;T;F;F;F;F
14.614.338.680;F;F;F;F;F;F;T
15.634.688.04;F;F;F;F;F;F;T
16.678.332.646;F;F;T;F;F;F;F
18.1.643.624;F;F;F;F;F;T;F
18.301.85.15;F;F;F;F;T;F;F
18.388.615.617;F;F;F;F;F;F;T
18.47.655.622;F;F;T;F;F;F;F
18.67.1.50;F;F;T;F;F;F;F
18.83.620.07;F;T;F;T;T;F;F
322.00.688.688;F;F;F;F;F;F;T
322.1.687.86;F;T;F;F;F;F;F
322.648.378.610;F;F;F;F;F;F;T
322.66.84.52;F;F;F;F;T;F;T
322.75.617.673;F;F;F;F;F;T;T
323.612.645.660;F;F;T;F;F;F;F
324.01.67.50;T;F;T;T;T;F;T
326.52.678.52;F;T;T;F;F;F;T
326.680.681.85;F;T;F;F;T;F;T
327.44.685.688;F;F;F;F;F;F;T
328.630.634.613;F;T;F;F;T;F;T
332.338.72.333;F;T;F;F;F;F;T
333.15.655.604;F;F;F;F;F;F;T
333.387.627.77;F;F;F;F;F;F;T
333.634.621.613;T;T;F;F;T;F;T
361.40.382.62;F;F;F;F;T;F;F
361.617.304.6;F;F;F;F;T;F;F
361.88.632.302;F;F;F;F;T;F;F
363.657.602.83;F;F;F;F;T;F;F
364.600.683.85;F;T;F;F;F;F;T
367.678.64.655;F;T;F;F;F;F;F
367.678.680.82;F;F;F;F;F;F;T
368.626.682.633;F;F;F;F;T;F;F
42.662.04.606;F;F;F;F;T;F;F
42.668.653.05;F;F;F;F;T;F;T
42.80.31.7;F;F;F;F;T;F;F
43.60.610.608;F;F;F;F;T;F;T
43.74.646.610;T;F;F;F;F;F;F
44.76.70.607;F;F;F;F;F;F;T
46.08.656.611;F;F;F;F;T;F;F
46.16.628.686;F;F;F;F;T;F;F
46.686.305.370;F;T;F;T;T;F;T
48.323.604.336;F;T;F;F;F;F;T
48.43.338.34;F;F;F;F;T;F;T
48.627.04.88;F;F;F;F;T;F;F
51.361.15.688;T;T;F;F;T;F;T
51.5.41.368;F;F;F;F;F;F;T
52.615.37.307;F;F;T;F;F;F;F
53.304.82.333;F;F;F;F;T;F;F
53.46.8.686;F;F;F;F;T;F;T
54.332.677.628;F;T;F;F;F;F;T
54.370.302.80;F;F;F;F;F;F;T
54.370.382.640;T;T;F;F;T;F;T
54.684.85.306;F;T;F;F;F;F;F
54.687.373.642;F;F;F;F;T;T;T
55.42.337.647;F;F;F;F;T;F;F
55.56.376.621;F;F;F;F;F;F;T
55.657.327.08;T;T;F;F;T;F;T
55.663.338.85;F;F;F;F;F;F;T
55.686.61.36;F;T;F;F;T;F;T
56.53.388.76;F;T;F;F;T;F;T
57.12.615.60;F;F;F;F;F;F;T
58.320.627.83;T;T;F;F;T;F;T
58.602.686.03;F;T;F;F;T;F;T
58.628.73.0;F;F;F;F;F;F;T
58.675.612.600;F;T;F;F;T;F;T
606.1.66.67;F;F;F;F;F;F;T
618.306.35.641;F;F;F;F;T;F;T
628.668.61.388;F;F;F;F;F;F;T
63.620.600.3;F;T;F;F;F;F;T
63.638.54.7;F;T;F;F;F;F;F
631.377.655.618;F;F;F;F;F;F;T
633.610.682.667;F;F;F;F;F;F;T
633.611.8.661;F;F;F;F;T;F;F
636.364.72.35;T;T;F;T;T;F;T
642.18.305.36;F;F;F;F;T;F;F
647.616.368.670;F;F;F;F;T;F;F
655.56.78.607;F;F;F;F;F;F;T
658.328.618.85;F;T;F;F;F;F;T
658.668.616.70;T;T;F;F;T;F;T
660.601.0.80;T;T;F;F;T;F;T
660.607.306.331;T;T;T;F;T;F;T
660.607.614.675;F;F;F;F;F;F;T
660.634.325.46;F;F;F;F;F;F;T
665.647.640.615;F;F;F;F;F;F;T
668.618.53.40;F;F;F;F;F;F;T
680.47.665.66;F;T;T;F;T;F;T
681.13.7.31;F;F;F;F;T;F;F
681.327.44.683;F;T;F;F;F;F;T
681.63.308.688;F;T;F;F;T;F;F
682.02.10.84;F;F;F;F;F;T;F
682.18.6.13;F;T;F;F;F;T;T
682.305.676.623;F;F;T;F;F;F;F
682.325.65.684;T;T;F;T;T;F;T
682.36.51.684;F;T;F;F;F;F;T
687.625.377.18;F;F;F;F;F;F;T
687.628.43.34;F;F;F;F;F;F;T
688.1.647.606;F;T;F;F;T;F;T
688.338.378.78;F;F;F;F;T;F;F
81.65.623.56;F;F;F;T;T;F;F
82.5.31.641;F;F;F;F;F;T;F
82.5.56.610;F;F;F;F;F;T;F
83.600.373.335;F;F;F;F;F;F;T
84.634.6.618;F;F;F;F;F;F;T
85.361.624.31;F;T;F;F;T;F;T
85.8.6.654;F;T;F;F;T;F;T
87.13.386.88;F;F;T;F;F;T;F
87.70.680.670;F;T;T;F;T;F;T
88.55.88.673;F;F;F;F;T;F;F
88.617.323.380;T;T;F;F;F;F;F
88.88.38.655;F;T;F;F;F;F;F
