ID;LocX;LocY;RegDens;RegPop;MedHHInc;MeanHHSz;CountMeth
601;-66.749470;18.180103;70;19143;9888;3.240000;1
602;-67.180250;18.363285;83;42042;11384;3.100000;1
603;-67.134220;18.448619;86;55592;10748;2.840000;0
604;-67.137000;18.498987;83;3844;31199;3.000000;1
606;-66.958810;18.182151;65;6449;9243;3.200000;1
610;-67.136050;18.288319;79;28005;12629;3.010000;1
612;-66.698800;18.449732;81;72865;13000;2.840000;0
616;-66.676690;18.426748;78;10525;10476;2.970000;0
617;-66.555760;18.455499;81;23223;11511;2.970000;0
622;-67.167460;18.003125;69;8284;13634;2.640000;0
623;-67.152230;18.086430;80;38627;13565;2.750000;1
624;-66.726030;18.055399;77;26719;12194;3.470000;1
627;-66.856440;18.435246;79;35244;13168;3.070000;1
631;-66.851750;18.186739;68;2169;8345;3.050000;1
637;-66.948640;18.073078;78;25935;12485;2.910000;1
638;-66.498350;18.308139;70;19648;10986;3.260000;0
641;-66.705190;18.268896;71;35095;9901;3.140000;0
646;-66.276890;18.442798;84;34114;16378;3.110000;1
647;-66.939930;17.964529;73;5352;9607;2.870000;0
650;-66.567730;18.363331;77;12207;11544;3.110000;0
652;-66.612170;18.457453;75;2903;12097;2.840000;0
653;-66.900980;17.992112;78;16536;9770;3.040000;0
656;-66.791680;18.038866;76;23072;11361;3.190000;0
659;-66.800390;18.432956;80;38925;12378;3.060000;0
660;-67.120860;18.139108;84;16614;16745;2.820000;1
662;-67.019740;18.478855;80;42178;11753;2.940000;0
664;-66.592440;18.212565;73;17318;11220;3.350000;1
667;-67.042270;18.017819;74;26637;11426;2.910000;0
669;-66.875040;18.288418;77;32246;9758;3.120000;0
670;-66.976040;18.241343;68;11174;9556;3.080000;1
674;-66.486970;18.426137;81;45874;12820;2.970000;0
676;-67.084250;18.379560;79;39697;11271;3.110000;0
677;-67.236750;18.336121;81;14767;11460;2.860000;0
678;-66.932760;18.442334;81;27271;12005;3.070000;0
680;-67.126550;18.205232;84;75090;12042;2.770000;0
682;-67.154290;18.208402;90;25138;11121;2.840000;1
683;-67.045250;18.092807;78;35165;13036;2.860000;1
685;-66.981040;18.332595;76;44649;11014;2.940000;0
687;-66.415290;18.317080;79;29965;12090;3.400000;1
688;-66.613480;18.404150;75;13501;11729;3.010000;1
690;-67.098670;18.495369;85;5249;12629;2.890000;1
